ID,PCP_PC,PCP_PO,PCP_NP,PCP_CY,PCP_AR,PCP_BS,PCP_HB,PCP_HL,PCP_SC,PCP_SM,PCP_LR
Seq_6589,0.142,0.169,0.568,0.064,0.049,0.142,0.538,0.208,0.017,0.538,0.462
Seq_6590,0.15,0.178,0.478,0.039,0.061,0.15,0.511,0.233,0.033,0.539,0.461
Seq_6591,0.121,0.304,0.378,0.06,0.071,0.121,0.451,0.262,0.119,0.612,0.388
Seq_6592,0.123,0.191,0.547,0.061,0.102,0.123,0.521,0.231,0.019,0.545,0.455
Seq_6593,0.129,0.189,0.518,0.044,0.1,0.129,0.51,0.193,0.056,0.506,0.494
Seq_6594,0.132,0.118,0.57,0.039,0.057,0.132,0.522,0.202,0.057,0.513,0.487
Seq_6595,0.135,0.176,0.594,0.09,0.07,0.135,0.566,0.238,0.029,0.549,0.451
Seq_6596,0.131,0.209,0.515,0.073,0.085,0.131,0.527,0.237,0.026,0.544,0.456
Seq_6597,0.103,0.216,0.509,0.045,0.11,0.103,0.502,0.213,0.024,0.584,0.416
Seq_6598,0.05,0.361,0.495,0.067,0.1,0.05,0.502,0.157,0.077,0.706,0.294
Seq_6599,0.112,0.196,0.593,0.104,0.087,0.112,0.58,0.232,0.025,0.545,0.455
Seq_6600,0.071,0.217,0.569,0.043,0.078,0.071,0.55,0.144,0.021,0.673,0.327
Seq_6601,0.082,0.2,0.588,0.068,0.075,0.082,0.578,0.18,0.021,0.674,0.326
Seq_6602,0.127,0.209,0.522,0.047,0.088,0.127,0.531,0.204,0.053,0.513,0.487
Seq_6603,0.139,0.223,0.466,0.028,0.084,0.139,0.462,0.227,0.008,0.522,0.478
Seq_6604,0.092,0.205,0.57,0.065,0.07,0.092,0.565,0.189,0.03,0.6,0.4
Seq_6605,0.138,0.203,0.517,0.043,0.099,0.138,0.507,0.208,0.012,0.536,0.464
Seq_6606,0.125,0.141,0.578,0.048,0.075,0.125,0.556,0.195,0.025,0.537,0.463
Seq_6607,0.082,0.283,0.49,0.056,0.083,0.082,0.533,0.191,0.021,0.646,0.354
Seq_6608,0.142,0.176,0.497,0.044,0.135,0.142,0.483,0.22,0.044,0.439,0.561
Seq_6609,0.05,0.278,0.556,0.068,0.097,0.05,0.562,0.168,0.024,0.711,0.289
Seq_6610,0.152,0.29,0.428,0.051,0.123,0.152,0.5,0.225,0.13,0.5,0.5
Seq_6611,0.197,0.248,0.409,0.044,0.095,0.197,0.467,0.285,0.124,0.504,0.496
Seq_6612,0.19,0.263,0.394,0.029,0.095,0.19,0.46,0.277,0.124,0.504,0.496
Seq_6613,0.116,0.319,0.413,0.029,0.123,0.116,0.457,0.174,0.13,0.565,0.435
Seq_6614,0.197,0.27,0.372,0.022,0.102,0.197,0.467,0.27,0.124,0.467,0.533
Seq_6615,0.119,0.194,0.49,0.032,0.055,0.119,0.482,0.19,0.032,0.538,0.462
Seq_6616,0.109,0.201,0.531,0.047,0.08,0.109,0.513,0.218,0.029,0.566,0.434
Seq_6617,0.072,0.272,0.546,0.048,0.06,0.072,0.513,0.179,0.036,0.681,0.319
Seq_6618,0.092,0.264,0.508,0.051,0.095,0.092,0.516,0.2,0.034,0.625,0.375
Seq_6619,0.122,0.234,0.443,0.053,0.086,0.122,0.466,0.224,0.023,0.541,0.459
Seq_6620,0.121,0.22,0.475,0.028,0.057,0.121,0.511,0.184,0.035,0.475,0.525
Seq_6621,0.156,0.186,0.432,0.043,0.126,0.156,0.435,0.266,0.037,0.395,0.605
Seq_6622,0.158,0.173,0.473,0.033,0.085,0.158,0.46,0.243,0.028,0.455,0.545
Seq_6623,0.135,0.184,0.506,0.02,0.049,0.135,0.498,0.171,0.037,0.486,0.514
Seq_6624,0.114,0.228,0.483,0.037,0.055,0.114,0.489,0.206,0.022,0.462,0.538
Seq_6625,0.158,0.109,0.57,0.053,0.06,0.158,0.491,0.234,0.026,0.472,0.528
Seq_6626,0.106,0.116,0.652,0.121,0.082,0.106,0.594,0.237,0.01,0.517,0.483
Seq_6627,0.136,0.119,0.619,0.045,0.073,0.136,0.528,0.196,0.042,0.51,0.49
Seq_6628,0.119,0.173,0.554,0.043,0.062,0.119,0.527,0.197,0.057,0.514,0.486
Seq_6629,0.122,0.135,0.6,0.057,0.045,0.122,0.584,0.204,0.016,0.592,0.408
Seq_6630,0.169,0.12,0.506,0.023,0.078,0.169,0.477,0.234,0.036,0.432,0.568
Seq_6631,0.131,0.204,0.534,0.058,0.084,0.131,0.545,0.215,0.005,0.492,0.508
Seq_6632,0.102,0.148,0.62,0.087,0.061,0.102,0.556,0.202,0.01,0.582,0.418
Seq_6633,0.147,0.135,0.563,0.063,0.087,0.147,0.516,0.226,0.024,0.5,0.5
Seq_6634,0.156,0.156,0.5,0.033,0.079,0.156,0.464,0.215,0.05,0.477,0.523
Seq_6635,0.125,0.154,0.585,0.053,0.071,0.125,0.552,0.196,0.042,0.555,0.445
Seq_6636,0.122,0.16,0.588,0.053,0.071,0.122,0.552,0.196,0.045,0.555,0.445
Seq_6637,0.101,0.162,0.598,0.076,0.051,0.101,0.586,0.187,0.03,0.624,0.376
Seq_6638,0.163,0.16,0.543,0.049,0.083,0.163,0.528,0.236,0.021,0.485,0.515
Seq_6639,0.105,0.135,0.63,0.1,0.054,0.105,0.6,0.213,0.032,0.61,0.39
Seq_6640,0.107,0.214,0.519,0.065,0.057,0.107,0.546,0.221,0.031,0.611,0.389
Seq_6641,0.143,0.179,0.484,0.036,0.058,0.143,0.48,0.211,0.031,0.444,0.556
Seq_6642,0.118,0.199,0.538,0.063,0.099,0.118,0.533,0.228,0.026,0.548,0.452
Seq_6643,0.132,0.254,0.47,0.057,0.07,0.132,0.465,0.201,0.045,0.535,0.465
Seq_6644,0.145,0.249,0.47,0.049,0.087,0.145,0.475,0.21,0.038,0.514,0.486
Seq_6645,0.137,0.257,0.473,0.049,0.087,0.137,0.484,0.202,0.038,0.522,0.478
Seq_6646,0.137,0.246,0.478,0.049,0.09,0.137,0.478,0.199,0.033,0.516,0.484
Seq_6647,0.132,0.186,0.512,0.049,0.099,0.132,0.48,0.225,0.011,0.53,0.47
Seq_6648,0.122,0.198,0.504,0.05,0.1,0.122,0.509,0.222,0.03,0.539,0.461
Seq_6649,0.192,0.232,0.375,0.039,0.073,0.192,0.38,0.273,0.039,0.443,0.557
Seq_6650,0.164,0.184,0.5,0.043,0.103,0.164,0.477,0.239,0.049,0.5,0.5
Seq_6651,0.104,0.189,0.601,0.082,0.061,0.104,0.549,0.216,0.018,0.604,0.396
Seq_6652,0.142,0.24,0.466,0.053,0.089,0.142,0.496,0.208,0.03,0.507,0.493
Seq_6653,0.141,0.26,0.456,0.05,0.088,0.141,0.483,0.207,0.03,0.536,0.464
Seq_6654,0.133,0.265,0.464,0.05,0.088,0.133,0.481,0.196,0.03,0.53,0.47
Seq_6655,0.133,0.251,0.478,0.05,0.088,0.133,0.489,0.196,0.03,0.53,0.47
Seq_6656,0.133,0.257,0.472,0.05,0.091,0.133,0.492,0.199,0.028,0.528,0.472
Seq_6657,0.133,0.26,0.467,0.05,0.094,0.133,0.492,0.202,0.028,0.53,0.47
Seq_6658,0.133,0.26,0.47,0.05,0.091,0.133,0.486,0.199,0.028,0.53,0.47
Seq_6659,0.135,0.26,0.467,0.05,0.091,0.135,0.483,0.202,0.028,0.53,0.47
Seq_6660,0.091,0.256,0.474,0.036,0.087,0.091,0.503,0.213,0.043,0.568,0.432
Seq_6661,0.171,0.128,0.433,0.018,0.098,0.171,0.433,0.311,0.024,0.421,0.579
Seq_6662,0.096,0.257,0.473,0.034,0.085,0.096,0.507,0.206,0.043,0.559,0.441
Seq_6663,0.135,0.156,0.521,0.046,0.074,0.135,0.493,0.238,0.025,0.472,0.528
Seq_6664,0.124,0.203,0.491,0.039,0.112,0.124,0.488,0.221,0.048,0.455,0.545
Seq_6665,0.093,0.203,0.562,0.048,0.055,0.093,0.566,0.183,0.031,0.583,0.417
Seq_6666,0.112,0.184,0.573,0.052,0.058,0.112,0.55,0.184,0.046,0.559,0.441
Seq_6667,0.102,0.208,0.571,0.068,0.106,0.102,0.559,0.183,0.019,0.469,0.531
Seq_6668,0.142,0.087,0.634,0.076,0.07,0.142,0.544,0.23,0.017,0.535,0.465
Seq_6669,0.157,0.122,0.555,0.06,0.085,0.157,0.53,0.241,0.017,0.489,0.511
Seq_6670,0.142,0.172,0.502,0.057,0.103,0.142,0.484,0.24,0.052,0.466,0.534
Seq_6671,0.121,0.143,0.584,0.068,0.074,0.121,0.551,0.199,0.034,0.551,0.449
Seq_6672,0.099,0.15,0.621,0.067,0.055,0.099,0.589,0.186,0.032,0.577,0.423
Seq_6673,0.155,0.179,0.506,0.077,0.101,0.155,0.518,0.232,0.03,0.476,0.524
Seq_6674,0.126,0.175,0.534,0.044,0.049,0.126,0.534,0.218,0.015,0.519,0.481
Seq_6675,0.171,0.134,0.515,0.036,0.078,0.171,0.485,0.223,0.029,0.396,0.604
Seq_6676,0.127,0.254,0.517,0.039,0.132,0.127,0.507,0.185,0.039,0.478,0.522
Seq_6677,0.113,0.253,0.515,0.045,0.125,0.113,0.506,0.182,0.045,0.476,0.524
Seq_6678,0.153,0.192,0.472,0.058,0.109,0.153,0.482,0.258,0.038,0.411,0.589
Seq_6679,0.086,0.247,0.524,0.054,0.081,0.086,0.501,0.206,0.019,0.641,0.359
Seq_6680,0.092,0.208,0.496,0.057,0.078,0.092,0.515,0.209,0.017,0.572,0.428
Seq_6681,0.096,0.129,0.478,0.048,0.099,0.096,0.466,0.18,0.023,0.478,0.522
Seq_6682,0.165,0.161,0.53,0.072,0.085,0.165,0.513,0.246,0.021,0.542,0.458
Seq_6683,0.193,0.241,0.361,0.029,0.08,0.193,0.398,0.299,0.051,0.471,0.529
Seq_6684,0.136,0.206,0.483,0.048,0.139,0.136,0.455,0.214,0.013,0.487,0.513
Seq_6685,0.135,0.212,0.518,0.033,0.091,0.135,0.489,0.204,0.047,0.46,0.54
Seq_6686,0.111,0.245,0.536,0.121,0.046,0.111,0.499,0.258,0.041,0.622,0.378
Seq_6687,0.169,0.199,0.478,0.063,0.083,0.169,0.489,0.269,0.038,0.471,0.529
Seq_6688,0.129,0.174,0.536,0.043,0.092,0.129,0.493,0.215,0.037,0.513,0.487
Seq_6689,0.169,0.177,0.49,0.086,0.07,0.169,0.514,0.28,0.041,0.531,0.469
Seq_6690,0.142,0.199,0.471,0.037,0.083,0.142,0.48,0.228,0.035,0.457,0.543
Seq_6691,0.182,0.163,0.443,0.059,0.049,0.182,0.448,0.305,0.034,0.493,0.507
Seq_6692,0.16,0.221,0.413,0.058,0.088,0.16,0.424,0.272,0.022,0.452,0.548
Seq_6693,0.155,0.232,0.41,0.052,0.088,0.155,0.425,0.26,0.023,0.441,0.559
Seq_6694,0.136,0.162,0.52,0.058,0.09,0.136,0.495,0.235,0.045,0.518,0.482
Seq_6695,0.149,0.189,0.539,0.046,0.057,0.149,0.539,0.212,0.026,0.43,0.57
Seq_6696,0.136,0.181,0.505,0.05,0.071,0.136,0.499,0.217,0.046,0.506,0.494
Seq_6697,0.146,0.246,0.46,0.142,0.053,0.146,0.513,0.323,0.04,0.544,0.456
Seq_6698,0.146,0.187,0.465,0.032,0.104,0.146,0.459,0.222,0.051,0.424,0.576
Seq_6699,0.146,0.176,0.459,0.029,0.078,0.146,0.439,0.224,0.024,0.439,0.561
Seq_6700,0.155,0.131,0.512,0.048,0.071,0.155,0.536,0.238,0.06,0.524,0.476
Seq_6701,0.167,0.182,0.465,0.037,0.037,0.167,0.42,0.227,0.028,0.478,0.522
Seq_6702,0.123,0.193,0.519,0.044,0.047,0.123,0.519,0.225,0.06,0.557,0.443
Seq_6703,0.155,0.245,0.418,0.067,0.076,0.155,0.441,0.264,0.042,0.527,0.473
Seq_6704,0.157,0.243,0.413,0.066,0.077,0.157,0.441,0.27,0.042,0.513,0.487
Seq_6705,0.136,0.212,0.462,0.05,0.113,0.136,0.461,0.236,0.035,0.484,0.516
Seq_6706,0.157,0.142,0.505,0.049,0.054,0.157,0.461,0.245,0.039,0.456,0.544
Seq_6707,0.128,0.198,0.515,0.04,0.075,0.128,0.524,0.216,0.062,0.564,0.436
Seq_6708,0.164,0.183,0.462,0.058,0.092,0.164,0.455,0.272,0.013,0.438,0.562
Seq_6709,0.139,0.177,0.443,0.051,0.076,0.139,0.405,0.215,0.013,0.38,0.62
Seq_6710,0.15,0.188,0.485,0.028,0.028,0.15,0.492,0.225,0.034,0.506,0.494
Seq_6711,0.156,0.176,0.513,0.071,0.114,0.156,0.521,0.268,0.041,0.438,0.562
Seq_6712,0.055,0.365,0.444,0.036,0.093,0.055,0.501,0.153,0.059,0.703,0.297
Seq_6713,0.118,0.207,0.539,0.067,0.101,0.118,0.525,0.212,0.016,0.606,0.394
Seq_6714,0.139,0.175,0.547,0.066,0.048,0.139,0.541,0.223,0.054,0.545,0.455
Seq_6715,0.149,0.186,0.466,0.045,0.09,0.149,0.475,0.24,0.027,0.457,0.543
Seq_6716,0.109,0.234,0.491,0.096,0.06,0.109,0.532,0.262,0.039,0.509,0.491
Seq_6717,0.122,0.186,0.543,0.046,0.076,0.122,0.503,0.201,0.027,0.57,0.43
Seq_6718,0.13,0.203,0.524,0.073,0.076,0.13,0.524,0.232,0.068,0.568,0.432
Seq_6719,0.094,0.304,0.479,0.091,0.078,0.094,0.501,0.23,0.038,0.579,0.421
Seq_6720,0.082,0.17,0.661,0.061,0.078,0.082,0.677,0.155,0.023,0.589,0.411
Seq_6721,0.111,0.204,0.55,0.083,0.121,0.111,0.555,0.209,0.033,0.487,0.513
Seq_6722,0.171,0.118,0.578,0.076,0.071,0.171,0.55,0.256,0.033,0.469,0.531
Seq_6723,0.186,0.273,0.388,0.069,0.052,0.186,0.387,0.277,0.043,0.499,0.501
Seq_6724,0.123,0.182,0.555,0.081,0.106,0.123,0.568,0.229,0.051,0.508,0.492
Seq_6725,0.119,0.185,0.533,0.059,0.115,0.119,0.501,0.227,0.03,0.527,0.473
Seq_6726,0.128,0.19,0.52,0.072,0.078,0.128,0.522,0.242,0.054,0.54,0.46
Seq_6727,0.177,0.217,0.413,0.062,0.06,0.177,0.408,0.269,0.038,0.435,0.565
Seq_6728,0.171,0.133,0.485,0.043,0.073,0.171,0.48,0.26,0.041,0.434,0.566
Seq_6729,0.107,0.156,0.567,0.067,0.086,0.107,0.555,0.209,0.028,0.546,0.454
Seq_6730,0.137,0.174,0.484,0.031,0.05,0.137,0.509,0.199,0.012,0.54,0.46
Seq_6731,0.147,0.23,0.433,0.061,0.089,0.147,0.436,0.267,0.026,0.494,0.506
Seq_6732,0.151,0.196,0.478,0.047,0.104,0.151,0.468,0.243,0.035,0.452,0.548
Seq_6733,0.11,0.18,0.57,0.041,0.087,0.11,0.5,0.186,0.023,0.535,0.465
Seq_6734,0.126,0.205,0.535,0.058,0.063,0.126,0.538,0.202,0.031,0.543,0.457
Seq_6735,0.114,0.261,0.477,0.086,0.083,0.114,0.425,0.268,0.022,0.587,0.413
Seq_6736,0.112,0.19,0.56,0.069,0.052,0.112,0.578,0.216,0.043,0.526,0.474
Seq_6737,0.096,0.126,0.485,0.051,0.098,0.096,0.472,0.177,0.023,0.47,0.53
Seq_6738,0.165,0.235,0.458,0.104,0.104,0.165,0.462,0.3,0.042,0.538,0.462
Seq_6739,0.151,0.208,0.502,0.057,0.119,0.151,0.498,0.242,0.042,0.445,0.555
Seq_6740,0.149,0.208,0.502,0.057,0.119,0.149,0.498,0.242,0.042,0.447,0.553
Seq_6741,0.112,0.194,0.559,0.051,0.089,0.112,0.517,0.196,0.049,0.551,0.449
Seq_6742,0.13,0.241,0.502,0.046,0.064,0.13,0.528,0.192,0.031,0.587,0.413
Seq_6743,0.149,0.169,0.525,0.05,0.055,0.149,0.508,0.238,0.039,0.544,0.456
Seq_6744,0.133,0.119,0.593,0.051,0.08,0.133,0.538,0.201,0.012,0.494,0.506
Seq_6745,0.16,0.286,0.411,0.064,0.083,0.16,0.422,0.247,0.064,0.542,0.458
Seq_6746,0.095,0.266,0.487,0.053,0.106,0.095,0.49,0.175,0.046,0.548,0.452
Seq_6747,0.127,0.233,0.506,0.08,0.11,0.127,0.518,0.243,0.034,0.51,0.49
Seq_6748,0.153,0.201,0.462,0.04,0.1,0.153,0.47,0.224,0.037,0.404,0.596
Seq_6749,0.12,0.234,0.502,0.042,0.084,0.12,0.459,0.207,0.054,0.574,0.426
Seq_6750,0.139,0.154,0.515,0.038,0.094,0.139,0.496,0.211,0.045,0.466,0.534
Seq_6751,0.144,0.2,0.481,0.046,0.151,0.144,0.484,0.221,0.046,0.393,0.607
Seq_6752,0.116,0.204,0.498,0.043,0.082,0.116,0.47,0.193,0.049,0.477,0.523
Seq_6753,0.246,0.148,0.388,0.027,0.033,0.246,0.388,0.301,0.055,0.377,0.623
Seq_6754,0.163,0.163,0.405,0.0,0.078,0.163,0.425,0.176,0.059,0.431,0.569
Seq_6755,0.174,0.207,0.457,0.022,0.12,0.174,0.467,0.228,0.011,0.478,0.522
Seq_6756,0.142,0.203,0.468,0.062,0.099,0.142,0.44,0.25,0.022,0.513,0.487
Seq_6757,0.143,0.179,0.52,0.031,0.071,0.143,0.505,0.204,0.046,0.515,0.485
Seq_6758,0.126,0.11,0.638,0.047,0.071,0.126,0.567,0.205,0.016,0.575,0.425
Seq_6759,0.092,0.26,0.515,0.058,0.046,0.092,0.359,0.206,0.04,0.579,0.421
Seq_6760,0.15,0.184,0.537,0.027,0.102,0.15,0.524,0.218,0.007,0.456,0.544
Seq_6761,0.118,0.21,0.503,0.067,0.092,0.118,0.482,0.21,0.01,0.513,0.487
Seq_6762,0.059,0.151,0.703,0.02,0.115,0.059,0.624,0.11,0.036,0.55,0.45
Seq_6763,0.133,0.19,0.52,0.058,0.095,0.133,0.474,0.228,0.035,0.553,0.447
Seq_6764,0.157,0.143,0.514,0.014,0.071,0.157,0.457,0.229,0.014,0.529,0.471
Seq_6765,0.119,0.192,0.513,0.022,0.072,0.119,0.491,0.189,0.035,0.528,0.472
Seq_6766,0.112,0.158,0.608,0.067,0.074,0.112,0.589,0.196,0.024,0.598,0.402
Seq_6767,0.134,0.155,0.573,0.033,0.054,0.134,0.51,0.205,0.038,0.439,0.561
Seq_6768,0.147,0.177,0.498,0.049,0.086,0.147,0.486,0.24,0.053,0.539,0.461
Seq_6769,0.11,0.147,0.56,0.046,0.073,0.11,0.55,0.193,0.037,0.523,0.477
Seq_6770,0.127,0.214,0.477,0.056,0.128,0.127,0.49,0.226,0.031,0.477,0.523
Seq_6771,0.139,0.15,0.506,0.028,0.044,0.139,0.506,0.239,0.017,0.517,0.483
Seq_6772,0.143,0.153,0.504,0.035,0.049,0.143,0.487,0.214,0.029,0.498,0.502
Seq_6773,0.196,0.147,0.462,0.035,0.084,0.196,0.455,0.273,0.049,0.357,0.643
Seq_6774,0.102,0.207,0.502,0.045,0.098,0.102,0.539,0.219,0.02,0.449,0.551
Seq_6775,0.124,0.194,0.534,0.046,0.067,0.124,0.531,0.186,0.04,0.544,0.456
Seq_6776,0.149,0.122,0.547,0.095,0.034,0.149,0.527,0.257,0.014,0.527,0.473
Seq_6777,0.113,0.189,0.516,0.049,0.064,0.113,0.51,0.222,0.029,0.5,0.5
Seq_6778,0.111,0.158,0.581,0.073,0.115,0.111,0.526,0.214,0.03,0.444,0.556
Seq_6779,0.128,0.109,0.551,0.058,0.036,0.128,0.533,0.219,0.029,0.5,0.5
Seq_6780,0.14,0.248,0.45,0.0,0.093,0.14,0.481,0.178,0.039,0.543,0.457
Seq_6781,0.112,0.227,0.515,0.052,0.112,0.112,0.498,0.206,0.013,0.451,0.549
Seq_6782,0.139,0.18,0.523,0.04,0.077,0.139,0.498,0.217,0.037,0.508,0.492
Seq_6783,0.173,0.213,0.413,0.027,0.06,0.173,0.413,0.247,0.04,0.453,0.547
Seq_6784,0.149,0.236,0.41,0.038,0.088,0.149,0.433,0.234,0.035,0.516,0.484
Seq_6785,0.128,0.167,0.544,0.071,0.06,0.128,0.523,0.231,0.057,0.555,0.445
Seq_6786,0.112,0.21,0.512,0.034,0.102,0.112,0.493,0.18,0.044,0.507,0.493
Seq_6787,0.108,0.16,0.593,0.03,0.065,0.108,0.558,0.169,0.043,0.554,0.446
Seq_6788,0.104,0.144,0.639,0.061,0.063,0.104,0.561,0.174,0.025,0.563,0.437
Seq_6789,0.136,0.22,0.492,0.055,0.079,0.136,0.529,0.22,0.06,0.521,0.479
Seq_6790,0.071,0.345,0.468,0.054,0.029,0.071,0.443,0.187,0.032,0.615,0.385
Seq_6791,0.148,0.294,0.32,0.031,0.033,0.148,0.362,0.296,0.024,0.525,0.475
Seq_6792,0.16,0.12,0.496,0.024,0.064,0.16,0.44,0.2,0.024,0.384,0.616
Seq_6793,0.141,0.238,0.426,0.04,0.069,0.141,0.415,0.227,0.04,0.487,0.513
Seq_6794,0.129,0.193,0.5,0.031,0.072,0.129,0.466,0.201,0.049,0.515,0.485
Seq_6795,0.132,0.135,0.593,0.046,0.07,0.132,0.569,0.181,0.043,0.553,0.447
Seq_6796,0.134,0.15,0.557,0.033,0.075,0.134,0.504,0.192,0.04,0.533,0.467
Seq_6797,0.108,0.177,0.581,0.061,0.051,0.108,0.57,0.184,0.025,0.603,0.397
Seq_6798,0.122,0.258,0.452,0.027,0.086,0.122,0.462,0.195,0.041,0.475,0.525
Seq_6799,0.139,0.2,0.482,0.052,0.106,0.139,0.467,0.236,0.058,0.455,0.545
Seq_6800,0.131,0.241,0.446,0.068,0.105,0.131,0.456,0.256,0.037,0.487,0.513
Seq_6801,0.13,0.24,0.452,0.069,0.102,0.13,0.456,0.252,0.035,0.492,0.508
Seq_6802,0.157,0.199,0.47,0.055,0.098,0.157,0.494,0.262,0.037,0.472,0.528
Seq_6803,0.124,0.265,0.443,0.05,0.079,0.124,0.443,0.208,0.032,0.418,0.582
Seq_6804,0.12,0.278,0.426,0.038,0.08,0.12,0.436,0.193,0.033,0.426,0.574
Seq_6805,0.116,0.295,0.444,0.046,0.05,0.116,0.494,0.174,0.058,0.473,0.527
Seq_6806,0.114,0.19,0.568,0.067,0.054,0.114,0.559,0.206,0.032,0.508,0.492
Seq_6807,0.136,0.188,0.5,0.04,0.08,0.136,0.5,0.221,0.043,0.503,0.497
Seq_6808,0.117,0.163,0.545,0.038,0.051,0.117,0.542,0.176,0.031,0.616,0.384
Seq_6809,0.153,0.198,0.496,0.052,0.104,0.153,0.47,0.231,0.034,0.496,0.504
Seq_6810,0.123,0.246,0.484,0.074,0.09,0.123,0.541,0.23,0.066,0.533,0.467
Seq_6811,0.09,0.194,0.565,0.03,0.067,0.09,0.502,0.18,0.044,0.592,0.408
Seq_6812,0.167,0.178,0.546,0.098,0.057,0.167,0.592,0.282,0.017,0.546,0.454
Seq_6813,0.158,0.188,0.467,0.048,0.115,0.158,0.442,0.248,0.036,0.43,0.57
Seq_6814,0.12,0.196,0.516,0.049,0.06,0.12,0.446,0.212,0.038,0.543,0.457
Seq_6815,0.098,0.164,0.557,0.074,0.074,0.098,0.492,0.246,0.008,0.615,0.385
Seq_6816,0.142,0.174,0.419,0.052,0.09,0.142,0.432,0.232,0.026,0.445,0.555
Seq_6817,0.111,0.218,0.511,0.055,0.104,0.111,0.515,0.189,0.036,0.534,0.466
Seq_6818,0.138,0.162,0.535,0.048,0.093,0.138,0.526,0.228,0.039,0.514,0.486
Seq_6819,0.157,0.221,0.477,0.072,0.085,0.157,0.474,0.267,0.046,0.476,0.524
Seq_6820,0.167,0.233,0.429,0.06,0.076,0.167,0.442,0.266,0.039,0.485,0.515
Seq_6821,0.155,0.197,0.469,0.042,0.062,0.155,0.489,0.229,0.043,0.497,0.503
Seq_6822,0.158,0.141,0.538,0.063,0.058,0.158,0.52,0.231,0.05,0.5,0.5
Seq_6823,0.164,0.248,0.391,0.034,0.059,0.164,0.395,0.239,0.038,0.458,0.542
Seq_6824,0.133,0.164,0.537,0.042,0.051,0.133,0.512,0.204,0.043,0.5,0.5
Seq_6825,0.129,0.143,0.536,0.045,0.107,0.129,0.518,0.214,0.045,0.522,0.478
Seq_6826,0.143,0.143,0.511,0.05,0.061,0.143,0.486,0.229,0.018,0.475,0.525
Seq_6827,0.142,0.216,0.482,0.053,0.059,0.142,0.474,0.22,0.028,0.491,0.509
Seq_6828,0.114,0.149,0.581,0.042,0.045,0.114,0.519,0.189,0.04,0.573,0.427
Seq_6829,0.163,0.18,0.455,0.048,0.121,0.163,0.481,0.266,0.024,0.451,0.549
Seq_6830,0.126,0.251,0.489,0.068,0.041,0.126,0.497,0.213,0.049,0.557,0.443
Seq_6831,0.174,0.192,0.401,0.058,0.093,0.174,0.436,0.262,0.099,0.448,0.552
Seq_6832,0.155,0.233,0.417,0.049,0.058,0.155,0.408,0.233,0.049,0.456,0.544
Seq_6833,0.134,0.194,0.466,0.032,0.121,0.134,0.474,0.227,0.04,0.474,0.526
Seq_6834,0.136,0.222,0.427,0.02,0.073,0.136,0.452,0.209,0.022,0.454,0.546
Seq_6835,0.165,0.169,0.462,0.05,0.057,0.165,0.451,0.249,0.03,0.437,0.563
Seq_6836,0.204,0.146,0.526,0.058,0.036,0.204,0.46,0.285,0.022,0.533,0.467
Seq_6837,0.14,0.192,0.49,0.047,0.082,0.14,0.479,0.232,0.028,0.481,0.519
Seq_6838,0.147,0.243,0.475,0.036,0.094,0.147,0.472,0.21,0.039,0.446,0.554
Seq_6839,0.14,0.191,0.508,0.05,0.104,0.14,0.482,0.217,0.054,0.452,0.548
Seq_6840,0.121,0.179,0.545,0.055,0.063,0.121,0.524,0.205,0.037,0.536,0.464
Seq_6841,0.156,0.178,0.465,0.044,0.076,0.156,0.473,0.256,0.035,0.45,0.55
Seq_6842,0.089,0.149,0.658,0.056,0.056,0.089,0.61,0.156,0.026,0.647,0.353
Seq_6843,0.143,0.165,0.505,0.033,0.136,0.143,0.48,0.198,0.029,0.443,0.557
Seq_6844,0.107,0.174,0.552,0.033,0.053,0.107,0.563,0.18,0.029,0.53,0.47
Seq_6845,0.197,0.197,0.426,0.033,0.066,0.197,0.459,0.246,0.082,0.492,0.508
Seq_6846,0.123,0.194,0.475,0.037,0.103,0.123,0.475,0.216,0.071,0.461,0.539
Seq_6847,0.09,0.197,0.574,0.064,0.059,0.09,0.537,0.186,0.043,0.516,0.484
Seq_6848,0.115,0.172,0.566,0.06,0.086,0.115,0.526,0.204,0.034,0.529,0.471
Seq_6849,0.136,0.211,0.455,0.044,0.111,0.136,0.457,0.244,0.046,0.443,0.557
Seq_6850,0.129,0.207,0.522,0.052,0.093,0.129,0.496,0.212,0.031,0.525,0.475
Seq_6851,0.134,0.258,0.469,0.046,0.077,0.134,0.531,0.216,0.036,0.515,0.485
Seq_6852,0.14,0.168,0.505,0.025,0.069,0.14,0.462,0.206,0.023,0.495,0.505
Seq_6853,0.142,0.183,0.533,0.035,0.122,0.142,0.542,0.217,0.017,0.42,0.58
Seq_6854,0.138,0.151,0.566,0.059,0.079,0.138,0.526,0.204,0.039,0.507,0.493
Seq_6855,0.146,0.182,0.526,0.068,0.086,0.146,0.535,0.245,0.035,0.515,0.485
Seq_6856,0.118,0.265,0.453,0.015,0.079,0.118,0.497,0.182,0.065,0.576,0.424
Seq_6857,0.156,0.189,0.466,0.04,0.095,0.156,0.472,0.23,0.04,0.447,0.553
Seq_6858,0.152,0.141,0.424,0.0,0.087,0.152,0.435,0.185,0.076,0.38,0.62
Seq_6859,0.122,0.156,0.565,0.034,0.041,0.122,0.524,0.19,0.014,0.51,0.49
Seq_6860,0.099,0.183,0.574,0.045,0.048,0.099,0.558,0.183,0.026,0.542,0.458
