ID,DDR_A,DDR_C,DDR_D,DDR_E,DDR_F,DDR_G,DDR_H,DDR_I,DDR_K,DDR_L,DDR_M,DDR_N,DDR_P,DDR_Q,DDR_R,DDR_S,DDR_T,DDR_V,DDR_W,DDR_Y
Seq_7632,17.14,56.50,52.01,18.54,24.99,12.32,96.40,17.59,25.42,36.91,39.59,41.27,26.08,34.09,65.31,51.90,28.54,23.73,80.07,45.87
Seq_7633,13.63,199.91,78.00,84.42,32.78,27.36,118.51,121.85,219.48,35.28,98.24,26.85,25.09,51.58,45.13,42.55,17.80,24.14,110.45,193.73
Seq_7634,29.19,55.52,35.49,22.91,75.75,38.75,133.48,39.37,27.75,12.51,79.96,45.15,52.56,21.92,32.57,34.13,31.43,41.07,106.80,80.54
Seq_7635,15.28,129.12,22.75,23.97,57.26,23.54,60.36,26.96,86.77,24.66,54.38,38.74,37.59,74.46,25.81,29.15,33.60,22.84,107.74,56.44
Seq_7636,32.31,43.40,36.65,24.87,55.45,32.30,67.11,23.57,18.51,17.05,82.80,32.40,36.09,73.06,112.50,30.36,52.56,17.47,48.17,43.96
Seq_7637,12.25,382.45,28.49,46.27,72.66,15.82,176.05,26.41,31.30,28.60,43.79,24.80,36.28,41.53,31.74,42.87,40.57,27.35,184.99,41.30
Seq_7638,18.94,157.45,18.44,27.34,39.64,33.34,55.19,19.04,24.13,17.61,129.90,49.07,31.71,53.48,30.59,24.96,38.72,21.05,86.53,37.94
Seq_7639,21.29,34.62,29.55,12.61,42.15,33.92,45.02,31.85,27.56,33.86,45.68,67.49,19.67,35.07,55.01,36.18,41.39,47.46,75.92,32.76
Seq_7640,15.52,117.60,24.41,29.89,53.59,30.74,75.60,19.05,26.96,17.93,103.46,37.34,56.86,31.56,24.53,28.94,29.14,17.31,131.00,48.40
Seq_7641,11.32,57.61,21.22,21.69,36.44,35.52,49.10,21.82,27.31,17.00,106.00,26.57,50.77,49.96,22.67,36.02,32.66,22.12,138.67,38.46
Seq_7642,34.39,0.00,26.36,21.79,58.37,22.55,51.87,25.44,19.86,25.03,58.11,33.27,40.79,15.26,24.82,24.16,23.99,21.42,67.78,59.61
Seq_7643,19.54,120.07,33.34,17.56,31.46,23.40,61.45,32.62,24.25,20.20,108.09,31.91,47.95,86.90,47.65,56.95,28.70,17.79,0.00,63.10
Seq_7644,39.66,0.00,14.07,19.85,42.79,20.84,59.85,38.35,30.58,28.35,27.29,47.46,37.07,43.82,15.76,57.51,55.26,19.59,135.49,37.35
Seq_7645,35.38,143.77,36.70,23.84,32.81,33.25,65.24,34.31,25.26,13.80,38.92,47.97,24.76,69.89,22.77,32.27,55.71,35.59,172.44,38.95
Seq_7646,25.30,51.74,16.95,31.95,28.14,26.38,35.98,18.36,17.56,14.36,51.62,46.00,39.40,33.34,29.20,43.01,47.90,42.31,145.52,32.87
Seq_7647,32.01,500.96,30.28,33.67,36.77,31.14,119.85,31.22,34.48,30.96,70.95,24.25,39.63,60.29,43.23,22.59,34.99,20.69,85.00,29.75
Seq_7648,29.69,471.51,22.23,26.02,43.00,23.07,53.75,59.72,26.57,20.65,185.90,68.07,26.68,57.32,34.42,35.34,37.98,17.31,65.33,33.82
Seq_7649,27.84,67.85,47.76,25.75,60.91,19.69,49.77,33.25,24.19,32.19,74.82,46.27,38.22,89.09,55.00,24.82,51.15,21.09,117.89,42.23
Seq_7650,24.22,86.59,28.70,39.11,56.50,22.74,54.09,30.60,33.84,24.93,81.39,57.05,41.47,40.52,41.21,20.95,28.95,19.13,121.96,64.46
Seq_7651,20.57,95.48,25.75,47.14,38.72,21.32,53.77,26.12,31.58,27.05,56.25,38.11,42.32,39.36,58.16,32.27,30.15,21.67,121.26,48.49
Seq_7652,18.70,56.68,22.52,16.21,47.31,27.22,69.81,35.28,42.30,22.51,57.15,41.75,35.34,50.95,37.16,26.55,53.24,35.47,129.85,57.65
Seq_7653,15.35,71.90,28.92,18.27,36.92,25.69,68.72,30.29,45.37,20.91,56.56,43.61,41.74,55.89,35.37,33.82,41.86,44.83,129.85,77.49
Seq_7654,15.06,257.33,19.67,27.34,25.98,17.35,65.98,47.16,46.67,17.01,69.61,62.22,41.71,51.78,20.23,55.24,43.01,25.05,86.19,63.39
Seq_7655,20.42,179.78,28.56,24.00,24.15,24.43,51.20,16.41,37.58,18.01,37.81,48.12,33.54,45.23,31.09,21.37,43.00,22.43,133.56,65.98
Seq_7656,16.19,159.89,30.82,30.23,58.93,19.92,47.09,29.68,43.52,16.51,95.87,31.75,36.00,58.48,35.72,45.80,43.15,26.30,195.48,52.55
Seq_7657,33.84,114.85,32.07,35.21,32.33,13.32,113.37,67.92,28.34,22.22,61.46,21.82,33.33,36.91,95.88,26.62,15.45,27.74,42.99,23.54
Seq_7658,20.44,85.71,26.26,38.23,31.98,18.96,50.25,16.77,34.38,17.60,25.40,38.65,34.67,24.89,43.55,25.90,23.25,22.78,0.00,40.06
Seq_7659,17.48,174.58,20.35,17.64,44.19,20.74,65.64,32.33,64.15,26.52,60.19,72.01,37.68,33.54,15.88,31.96,52.58,30.75,111.48,40.10
Seq_7660,14.69,219.08,65.08,49.88,109.61,42.03,113.97,54.45,65.13,57.78,160.01,71.10,17.95,47.21,44.60,20.74,26.45,44.77,177.00,66.92
Seq_7661,14.33,0.00,22.43,25.11,23.95,42.34,58.06,35.40,20.73,18.26,90.83,26.83,46.24,32.82,49.52,30.49,39.29,25.77,54.39,100.45
Seq_7662,22.32,49.36,15.41,62.26,41.67,9.72,53.92,58.62,37.41,24.08,58.57,13.77,41.85,30.69,49.52,38.57,22.07,10.65,36.52,29.62
Seq_7663,28.27,85.36,24.74,16.11,67.18,41.53,57.58,14.64,18.79,23.67,48.19,48.26,27.53,123.28,28.92,29.74,33.83,17.91,0.00,41.44
Seq_7664,15.08,150.68,28.44,21.81,43.09,22.07,46.62,38.64,89.98,12.00,74.60,129.31,23.29,60.71,19.79,64.22,31.16,30.15,235.29,100.79
Seq_7665,30.83,109.62,32.76,18.15,60.32,29.45,67.55,23.48,22.60,17.38,63.07,75.25,48.46,47.82,36.64,24.97,49.41,19.06,0.00,74.40
Seq_7666,37.72,68.84,36.24,33.40,35.87,41.18,53.24,76.35,32.69,16.98,53.79,44.79,35.91,41.80,54.75,17.21,26.89,53.02,151.33,86.81
Seq_7667,25.48,67.50,43.83,27.60,40.73,22.35,67.40,45.77,30.02,22.07,85.23,49.32,28.15,52.16,43.95,29.28,25.83,27.45,258.00,85.09
Seq_7668,27.28,144.53,70.70,16.07,34.78,34.55,67.47,34.39,15.39,20.96,68.80,55.41,71.48,54.01,43.70,49.07,69.41,38.06,130.85,45.70
Seq_7669,33.35,397.30,24.42,15.87,55.02,119.50,102.77,24.74,12.29,14.50,147.57,27.32,266.00,45.86,32.56,18.95,25.87,69.83,333.46,99.19
Seq_7670,46.64,220.61,25.90,25.36,112.53,49.73,112.38,47.05,20.28,28.93,103.28,44.73,66.59,47.93,43.20,21.59,35.14,55.06,753.54,110.03
Seq_7671,16.30,202.91,19.80,36.76,57.47,20.73,88.47,62.13,0.00,16.41,87.62,148.06,43.26,95.41,14.72,38.00,48.00,20.06,167.91,60.82
Seq_7672,22.56,0.00,19.09,28.33,22.65,24.66,37.57,36.38,21.45,18.30,64.25,56.43,26.98,33.75,33.11,51.58,21.59,18.83,82.27,41.53
Seq_7673,11.50,132.00,36.28,18.64,26.08,19.00,66.58,199.40,37.22,9.31,123.45,72.15,21.94,94.09,23.04,55.35,70.79,22.44,56.74,127.90
Seq_7674,38.53,74.53,31.70,33.18,23.50,31.65,56.62,37.71,47.68,22.97,58.09,43.11,33.45,42.63,28.21,32.90,30.19,28.52,97.76,60.07
Seq_7675,13.41,65.05,30.14,43.22,61.89,16.42,46.09,33.37,59.74,18.79,93.42,193.25,95.46,47.05,19.47,41.66,35.68,24.74,105.89,82.18
Seq_7676,9.07,0.00,22.97,26.78,73.64,43.63,38.33,74.46,102.38,15.46,101.45,40.09,41.27,38.93,15.17,49.97,33.66,34.47,68.57,62.93
Seq_7677,9.42,89.45,31.98,32.78,52.75,14.43,99.07,36.70,95.46,13.69,158.56,71.23,36.14,48.33,26.18,34.46,27.71,21.07,160.34,110.93
Seq_7678,30.41,212.72,28.53,24.51,34.34,22.29,54.34,25.12,78.15,26.85,92.44,40.75,39.77,45.90,28.47,39.53,35.36,24.17,64.62,32.75
Seq_7679,25.33,112.00,19.58,29.11,39.53,31.48,108.49,49.52,53.45,13.19,86.75,37.05,33.48,56.05,23.39,25.77,21.73,20.90,90.28,67.90
Seq_7680,13.24,187.07,23.46,20.64,45.74,36.38,64.75,28.61,74.95,14.32,76.91,57.28,37.38,41.94,23.69,25.83,46.15,17.64,173.20,147.21
Seq_7681,44.44,57.05,37.22,42.86,74.63,25.45,87.66,37.02,33.60,22.83,78.07,33.31,32.78,44.00,34.60,23.78,36.90,27.75,276.00,60.70
Seq_7682,19.70,180.42,80.86,44.47,20.54,16.48,57.07,18.17,0.00,17.21,53.89,35.80,42.45,98.12,45.99,22.08,37.93,22.06,74.87,52.63
Seq_7683,19.70,180.42,83.22,44.57,20.54,16.48,57.07,17.49,0.00,17.21,53.89,36.20,42.45,98.12,45.99,22.02,37.42,22.76,74.87,52.63
Seq_7684,12.72,0.00,23.82,18.18,134.78,19.17,186.30,24.02,18.78,19.97,81.84,39.45,78.83,48.81,31.23,57.74,23.78,22.58,0.00,90.91
Seq_7685,19.56,149.58,39.35,25.86,78.67,21.18,31.64,32.04,50.23,16.67,32.70,85.92,36.62,88.10,25.02,49.55,19.97,12.66,25.24,78.81
Seq_7686,24.14,50.53,22.72,15.86,28.19,24.77,91.84,15.36,22.97,13.97,107.77,43.15,27.63,37.51,29.44,59.26,28.28,20.92,0.00,73.87
Seq_7687,12.34,123.51,41.39,33.22,48.91,14.60,0.00,20.86,32.51,22.71,66.45,38.41,97.72,57.31,32.17,28.78,55.65,14.60,108.21,76.87
Seq_7688,15.13,152.82,36.25,45.22,57.28,20.61,60.49,59.08,58.05,19.25,58.75,55.91,28.52,79.15,29.17,26.73,22.40,19.23,155.94,56.91
Seq_7689,17.73,241.86,27.88,29.83,24.89,18.51,57.06,22.06,26.52,15.95,63.92,41.08,34.30,64.93,33.65,27.40,49.99,31.52,84.97,64.97
Seq_7690,19.84,94.06,24.41,31.05,39.17,25.54,44.07,63.72,39.52,14.54,99.85,60.54,29.37,49.89,28.54,25.77,35.23,20.39,64.12,29.70
Seq_7691,15.87,284.63,28.22,57.60,53.14,14.43,142.44,33.93,112.75,26.28,161.10,43.10,31.46,46.88,26.82,22.36,18.78,27.40,76.43,49.44
Seq_7692,14.84,53.17,13.99,35.92,45.65,17.85,73.97,23.59,48.77,27.69,54.33,36.19,52.96,25.95,19.27,50.55,40.41,16.69,59.20,44.99
Seq_7693,19.92,91.29,37.15,24.18,36.57,25.28,35.60,40.19,55.24,14.80,46.89,40.32,20.94,59.72,26.04,41.32,23.45,17.65,308.85,46.49
Seq_7694,19.92,91.29,37.15,24.18,36.57,25.28,35.60,41.09,55.24,14.80,46.89,40.32,20.94,59.72,26.04,41.32,23.45,17.59,308.85,46.49
Seq_7695,14.09,161.37,32.35,26.17,32.14,16.96,67.95,27.31,34.87,28.58,53.41,42.74,41.44,59.92,32.01,43.09,24.63,17.54,88.45,68.16
Seq_7696,8.53,53.11,27.51,15.27,25.26,19.05,44.69,19.13,48.30,34.86,82.31,59.41,55.41,40.85,22.80,42.16,35.40,23.47,53.69,28.86
Seq_7697,10.58,0.00,35.63,25.94,45.33,19.05,110.18,34.08,34.99,23.90,37.84,41.81,37.14,27.32,52.43,37.31,16.37,21.52,44.53,78.63
Seq_7698,16.02,124.32,23.03,30.93,47.56,14.29,65.49,38.11,69.36,20.29,72.67,58.40,34.86,85.08,31.56,40.61,55.50,17.96,95.49,185.07
Seq_7699,17.84,146.87,35.15,22.76,51.61,22.29,63.06,25.12,43.65,15.71,66.54,66.49,26.44,61.01,27.66,41.54,29.55,27.33,146.73,47.73
Seq_7700,17.66,163.20,28.23,57.62,49.77,20.66,115.48,34.28,45.30,18.78,86.03,35.83,39.13,52.03,28.16,41.17,31.40,25.71,90.99,43.02
Seq_7701,40.19,117.03,22.26,21.71,35.09,19.19,37.92,32.89,58.65,16.61,84.78,80.10,24.65,57.37,21.73,36.78,35.22,25.45,116.26,34.83
Seq_7702,22.15,249.10,32.73,21.79,32.31,21.85,74.50,33.76,57.43,30.57,163.08,37.63,36.76,89.68,32.65,37.74,25.73,27.10,64.37,50.08
Seq_7703,14.33,176.04,28.10,21.25,58.09,15.06,71.62,23.50,105.70,17.66,86.42,105.94,33.51,49.89,24.21,32.27,21.24,28.94,225.36,50.46
Seq_7704,16.69,227.18,40.27,11.31,48.99,21.80,85.10,65.31,37.82,12.92,121.57,159.51,28.08,72.70,17.07,63.72,104.42,23.16,260.24,51.30
Seq_7705,18.33,289.88,26.69,25.69,43.41,18.28,77.42,59.62,32.12,17.78,167.19,34.95,29.58,34.33,65.52,23.57,17.11,17.17,105.16,77.20
Seq_7706,26.74,64.01,50.06,55.37,26.52,32.57,125.72,48.54,59.81,23.94,148.19,48.00,53.84,64.15,60.93,26.27,35.91,20.13,146.31,56.65
Seq_7707,16.95,50.58,29.59,12.69,69.17,19.65,50.99,57.51,86.41,8.37,50.60,59.03,14.08,43.87,22.68,40.34,32.42,14.49,57.37,40.42
Seq_7708,10.81,112.27,36.55,38.78,59.12,15.88,48.11,34.97,105.26,12.48,109.02,32.69,14.40,71.44,16.99,24.56,35.32,19.28,48.27,79.17
Seq_7709,9.23,61.61,38.65,29.08,75.09,11.85,104.62,36.95,69.13,18.57,116.56,34.50,54.60,81.23,18.54,24.13,28.10,15.73,82.26,66.16
Seq_7710,57.16,52.02,69.94,24.02,33.55,26.35,27.89,72.99,20.45,20.49,82.91,45.75,32.80,44.94,47.09,28.60,37.74,20.70,43.36,67.70
Seq_7711,17.23,140.68,26.06,20.64,70.82,16.06,74.72,22.12,107.20,15.71,120.19,45.39,32.08,60.37,25.50,33.51,24.30,16.89,92.96,46.57
Seq_7712,15.02,108.62,40.14,31.00,48.29,17.05,53.34,49.57,29.67,17.27,52.27,50.98,33.73,57.85,35.20,30.02,39.39,17.09,206.21,62.60
Seq_7713,17.32,130.27,28.50,42.30,44.05,22.04,41.76,84.03,83.03,23.22,92.73,65.42,28.86,53.46,20.64,25.42,38.75,22.54,70.43,78.65
Seq_7714,18.36,300.00,25.39,18.11,30.14,22.75,33.56,44.71,33.57,24.73,179.44,39.10,111.87,30.14,22.24,39.81,19.99,21.27,89.27,53.55
Seq_7715,19.76,304.05,24.57,23.82,88.37,18.40,133.36,30.94,45.84,13.15,100.39,26.41,45.95,50.93,34.65,36.99,44.69,24.83,217.82,45.81
Seq_7716,18.67,41.18,25.20,43.68,59.31,21.79,106.50,20.92,21.34,31.88,56.05,26.62,35.53,77.90,119.99,21.90,29.45,16.09,100.16,73.31
Seq_7717,35.30,70.58,33.88,28.49,50.67,15.08,77.77,49.45,22.89,20.38,56.64,94.38,41.61,54.61,70.66,25.64,45.22,18.82,195.17,21.13
Seq_7718,17.87,301.00,29.49,20.04,35.07,24.17,53.24,25.53,70.08,19.70,82.24,41.60,28.16,100.75,23.64,46.40,25.02,32.03,63.23,86.01
Seq_7719,15.63,72.37,26.28,41.26,45.18,16.60,66.17,116.40,100.81,27.09,93.45,43.77,25.19,25.74,34.20,24.27,35.22,26.30,31.23,32.53
Seq_7720,19.62,125.14,24.27,25.63,56.56,31.34,29.63,33.53,103.06,17.28,88.69,70.21,66.42,32.61,23.74,41.54,82.97,25.81,290.36,113.63
Seq_7721,32.22,107.51,32.68,33.45,68.27,24.30,44.93,28.48,23.89,16.35,75.68,48.47,42.12,76.35,27.33,27.55,27.67,35.78,256.61,41.50
Seq_7722,14.75,0.00,29.66,29.37,46.12,19.35,53.65,32.69,99.63,13.60,43.65,48.96,30.23,40.84,18.23,44.32,51.39,59.21,0.00,48.54
Seq_7723,21.48,0.00,24.37,27.86,45.12,20.43,35.20,74.20,22.23,21.17,62.04,50.07,17.01,45.15,23.05,34.82,25.01,13.34,45.33,34.31
Seq_7724,15.00,83.24,36.01,25.83,53.69,19.76,53.30,36.19,220.80,18.57,84.33,59.81,56.34,64.63,17.38,56.64,18.15,15.18,85.36,55.24
Seq_7725,21.13,48.75,22.41,32.00,60.12,19.54,46.81,49.92,73.56,16.77,79.28,36.54,23.42,66.08,28.71,25.04,30.39,28.11,113.46,47.08
Seq_7726,30.84,78.32,40.04,20.97,21.87,28.34,0.00,30.37,20.94,27.44,51.72,28.83,52.20,25.50,27.71,31.77,23.45,15.20,58.06,73.56
Seq_7727,13.99,0.00,23.49,28.60,55.71,18.17,53.56,53.85,92.42,16.97,116.25,153.31,47.21,55.39,19.68,28.35,64.15,16.23,63.60,65.75
Seq_7728,17.68,0.00,30.60,23.02,45.38,22.51,35.85,66.62,55.76,18.54,314.00,53.25,47.36,48.03,17.86,33.70,21.44,20.83,74.91,46.97
Seq_7729,17.19,77.08,52.90,15.35,41.50,17.88,40.98,14.71,16.53,14.04,95.70,39.01,25.80,77.66,24.32,45.70,54.66,39.16,35.80,65.47
Seq_7730,7.37,38.20,28.92,16.70,47.72,21.10,71.62,57.39,58.16,30.73,66.93,41.51,89.48,36.86,35.03,30.40,20.71,21.31,70.55,48.42
Seq_7731,23.39,191.62,25.57,24.45,34.37,19.49,101.37,19.94,37.69,22.91,67.55,70.42,33.57,56.42,32.41,56.01,34.44,25.41,102.27,42.46
Seq_7732,30.86,246.97,33.38,53.71,50.51,17.91,93.33,75.93,47.68,28.89,108.66,33.79,23.62,28.01,49.17,30.91,35.71,53.85,102.44,72.23
Seq_7733,25.80,0.00,11.41,23.05,36.51,16.88,43.66,23.83,71.44,16.57,43.56,83.55,41.79,56.55,22.47,48.55,35.02,28.12,65.57,48.52
Seq_7734,14.45,48.55,23.60,27.88,54.00,17.81,127.90,42.51,51.00,14.37,50.50,161.36,22.22,67.55,18.22,53.41,25.53,26.07,62.33,0.00
Seq_7735,10.25,93.87,25.73,21.68,33.51,20.18,104.36,26.17,26.83,29.68,74.95,47.06,45.54,62.19,27.11,100.18,29.73,29.18,201.16,66.47
Seq_7736,20.76,252.17,25.14,28.01,62.61,21.90,77.00,34.75,50.69,20.01,60.61,60.98,50.58,52.48,25.35,30.38,33.20,27.64,208.90,74.24
Seq_7737,16.73,93.39,31.93,24.49,93.71,22.83,97.09,27.98,28.38,16.65,40.83,53.23,26.32,70.33,53.24,32.55,32.37,16.24,137.98,106.49
Seq_7738,14.83,97.59,22.08,24.89,52.34,16.60,89.00,31.77,117.67,13.87,64.59,49.89,38.10,52.90,16.59,44.69,47.05,19.04,233.04,44.38
Seq_7739,15.01,105.43,34.79,28.03,65.03,21.09,59.37,39.27,54.36,21.45,53.18,47.23,36.55,49.23,30.10,38.82,35.13,21.26,62.23,74.86
Seq_7740,18.75,0.00,35.70,21.08,32.62,18.48,41.67,32.17,25.55,21.65,64.68,30.83,27.03,34.11,34.55,62.27,30.39,24.35,54.61,35.66
Seq_7741,27.27,99.27,67.13,53.44,108.71,35.19,66.73,83.25,18.43,41.83,93.62,110.70,18.76,84.08,24.60,29.18,37.73,43.44,200.27,144.40
Seq_7742,20.68,61.15,31.04,37.97,48.21,19.18,136.05,27.38,25.59,23.29,82.69,27.37,49.89,65.51,32.43,26.55,29.30,19.78,0.00,36.61
Seq_7743,14.04,51.33,21.08,18.91,30.61,16.27,41.90,28.08,64.90,12.54,41.45,97.58,26.99,25.50,15.93,30.37,41.59,34.48,31.73,37.43
Seq_7744,9.80,99.01,31.78,26.15,48.43,16.78,47.73,25.73,199.99,16.96,120.31,82.52,61.35,40.54,26.83,38.45,71.35,15.89,236.27,62.61
Seq_7745,13.58,185.42,30.69,38.98,85.79,13.92,51.37,60.44,39.87,13.78,68.54,46.70,25.48,111.19,90.27,25.78,32.76,14.96,78.95,45.37
Seq_7746,18.21,132.50,18.89,28.87,48.94,13.63,77.98,22.21,18.11,27.61,80.34,48.09,56.35,64.55,33.36,28.33,19.60,17.16,81.90,106.54
Seq_7747,19.35,83.18,30.48,27.30,66.62,18.79,135.94,30.05,26.17,17.69,73.62,38.32,56.67,40.15,46.28,24.82,27.46,20.26,0.00,26.82
Seq_7748,17.05,285.69,18.92,27.51,52.61,21.03,82.76,31.84,44.82,17.91,129.27,47.71,38.57,73.80,49.13,30.97,26.12,26.50,113.84,58.19
Seq_7749,16.25,281.72,21.10,37.53,70.54,20.49,86.05,33.51,50.50,17.75,92.97,45.52,33.83,50.41,32.40,35.48,27.07,22.21,113.45,58.90
Seq_7750,12.05,269.90,29.04,29.13,93.15,16.71,83.37,103.17,165.42,17.15,146.93,146.80,32.12,68.32,22.82,30.99,45.24,19.57,114.67,189.61
Seq_7751,22.45,99.64,31.27,59.82,35.74,21.70,81.34,29.50,118.83,36.34,114.00,18.37,52.39,34.95,59.56,16.70,41.85,16.00,138.04,34.23
Seq_7752,37.03,92.92,23.23,21.34,41.15,77.58,55.67,19.70,22.98,12.73,118.36,25.01,54.88,58.51,33.09,32.24,39.91,71.68,49.09,27.06
Seq_7753,26.99,98.86,23.11,28.25,43.69,23.40,122.47,41.08,48.35,30.41,110.99,37.30,39.53,91.18,42.43,28.82,27.10,33.01,94.12,23.05
Seq_7754,18.24,128.09,21.22,25.21,42.55,18.44,48.51,32.60,51.54,15.72,102.04,46.34,27.24,34.21,40.93,29.04,20.15,19.84,94.27,132.89
Seq_7755,22.72,385.33,29.85,44.52,46.46,14.85,192.92,34.04,36.78,28.71,49.86,39.11,38.93,46.92,33.94,27.35,21.67,22.23,88.27,54.08
Seq_7756,13.59,123.34,29.19,19.19,44.26,17.97,39.20,47.74,66.44,18.67,57.19,68.26,22.12,97.89,37.88,30.58,26.74,22.66,72.69,55.49
Seq_7757,25.18,66.18,15.05,19.16,26.08,19.09,38.14,30.85,14.02,16.15,113.66,34.13,39.81,53.79,44.09,34.24,39.80,28.10,43.70,54.27
Seq_7758,15.70,147.15,21.48,27.04,74.01,21.09,44.59,42.68,152.25,15.59,86.08,71.16,31.25,43.21,20.02,36.65,26.78,22.68,314.10,71.50
Seq_7759,14.37,208.64,20.14,50.21,32.22,16.76,61.89,54.64,59.71,19.09,154.00,102.46,28.84,66.56,18.06,42.60,38.33,34.28,89.26,106.44
Seq_7760,13.99,132.49,23.61,20.73,45.50,27.71,54.75,64.90,106.63,14.22,57.81,148.10,29.87,80.48,24.54,34.24,34.65,18.66,287.65,106.22
Seq_7761,8.92,0.00,20.84,22.51,40.22,26.17,62.60,24.85,33.44,20.68,57.80,84.89,46.03,23.03,41.61,28.41,30.28,11.29,48.57,81.60
Seq_7762,26.08,137.06,40.10,33.12,102.27,22.33,62.79,100.08,71.37,38.65,81.27,64.03,47.59,32.86,31.36,29.48,35.56,49.70,119.36,162.11
Seq_7763,26.39,138.77,40.48,30.80,103.16,21.37,63.35,101.74,72.85,38.94,64.70,65.03,47.39,31.00,31.28,29.36,36.55,50.68,120.59,164.17
Seq_7764,23.77,86.56,19.75,22.28,33.48,23.70,31.10,32.88,32.68,20.20,84.71,85.85,24.62,46.39,28.58,34.15,43.07,34.41,34.73,54.79
Seq_7765,24.80,119.87,18.89,12.09,40.50,29.46,27.80,19.77,33.10,16.76,109.68,0.00,34.98,67.42,12.85,26.60,28.08,15.89,0.00,35.97
Seq_7766,24.83,111.35,15.89,17.60,55.59,19.11,78.70,19.76,45.14,19.48,34.43,27.91,16.93,68.23,46.43,91.39,34.41,24.84,82.15,66.47
Seq_7767,16.91,101.89,31.55,22.03,35.82,15.39,49.99,31.34,44.98,23.55,47.01,45.54,25.79,31.73,30.45,44.05,22.77,36.77,39.93,39.77
Seq_7768,23.41,96.27,24.88,26.34,51.54,31.72,92.72,18.41,24.05,14.55,57.58,44.83,35.55,64.43,46.16,19.99,27.56,18.05,122.11,42.74
Seq_7769,15.73,0.00,20.80,24.09,60.96,18.30,127.27,34.38,67.56,12.73,201.99,129.05,28.20,138.84,30.69,28.59,18.84,34.29,67.25,73.64
Seq_7770,16.47,460.88,22.01,24.75,31.00,26.32,74.20,52.40,109.31,19.06,58.01,68.82,31.94,62.41,32.46,33.80,31.92,20.52,193.32,88.81
Seq_7771,10.81,203.42,43.59,35.49,73.44,13.95,119.76,31.37,23.04,23.50,34.67,40.62,37.95,48.24,45.77,28.43,33.70,16.51,129.20,123.19
Seq_7772,30.80,154.45,24.01,23.41,34.64,21.69,32.30,30.69,25.37,10.53,37.95,32.09,76.75,43.92,60.65,25.37,46.78,23.70,100.05,42.04
Seq_7773,14.36,114.68,38.52,22.68,34.00,21.35,55.81,29.55,41.33,17.01,42.45,47.69,56.49,62.93,33.05,25.55,49.78,23.85,258.76,53.14
Seq_7774,17.82,93.35,33.08,29.57,93.47,16.26,66.53,80.40,98.06,14.98,119.07,153.53,27.10,46.75,26.52,16.52,41.90,46.87,70.37,94.52
Seq_7775,15.95,130.02,30.21,15.45,67.04,18.47,37.56,24.19,129.12,12.60,118.14,78.49,39.29,35.10,19.11,62.85,50.03,13.74,0.00,90.67
Seq_7776,24.12,118.77,29.21,27.85,40.68,30.09,72.80,33.99,27.94,18.01,81.06,26.22,33.49,61.27,70.41,25.88,54.98,20.28,165.79,37.41
Seq_7777,34.93,57.31,28.74,21.59,28.14,29.78,50.52,25.16,20.42,26.78,62.43,24.63,51.50,65.64,35.37,27.55,36.02,40.00,223.13,44.52
Seq_7778,16.42,0.00,0.00,24.66,14.03,8.13,0.00,11.91,22.21,5.25,26.74,0.00,0.00,24.74,0.00,18.57,31.14,12.79,16.74,23.43
Seq_7779,17.38,75.12,32.08,28.60,54.54,21.39,49.22,24.11,43.33,18.80,40.61,36.54,40.43,24.97,22.00,31.75,52.70,42.20,43.43,63.99
Seq_7780,19.08,305.81,23.72,42.51,118.55,16.62,56.47,97.07,136.52,19.21,86.27,56.53,23.02,80.39,21.40,37.21,31.33,16.19,72.42,101.43
Seq_7781,15.95,161.01,24.76,20.37,42.74,19.84,52.07,37.61,136.07,15.71,57.15,70.51,38.66,103.53,16.40,27.03,75.09,16.63,105.26,139.81
Seq_7782,18.06,165.63,35.72,22.48,46.26,40.96,48.27,48.35,81.55,21.83,58.93,61.21,34.57,86.69,13.68,19.00,17.78,19.02,111.14,35.28
Seq_7783,18.26,119.24,32.61,36.67,54.94,16.17,84.41,26.83,23.23,29.15,43.90,31.20,55.35,59.50,44.06,32.10,21.28,18.23,100.18,72.31
Seq_7784,20.08,80.37,28.86,25.74,38.33,40.34,50.89,56.29,70.12,15.78,74.90,60.81,41.67,41.21,28.96,47.09,33.56,34.88,54.07,35.57
Seq_7785,12.11,198.56,31.18,24.77,158.31,18.03,52.61,59.16,152.72,14.55,93.78,150.80,27.06,149.74,14.40,53.49,21.43,23.43,53.78,89.61
Seq_7786,23.76,166.66,54.00,50.26,48.56,37.73,142.65,19.52,39.23,16.26,71.39,49.88,43.66,67.82,63.09,22.60,30.80,23.48,158.71,42.16
Seq_7787,20.24,154.74,26.03,32.44,30.01,17.55,73.54,17.45,20.01,24.79,108.75,40.48,69.22,59.35,63.40,32.22,23.99,18.61,166.39,57.11
Seq_7788,20.56,64.10,22.96,38.15,43.61,22.99,26.18,13.13,22.68,16.89,27.95,34.51,43.72,29.23,60.27,53.34,21.66,19.84,45.45,26.36
Seq_7789,31.25,296.68,49.78,48.54,44.02,18.15,101.61,25.33,33.44,14.75,61.77,69.01,43.32,56.26,57.35,29.44,32.14,18.74,220.59,108.44
Seq_7790,34.79,48.87,32.13,42.28,29.03,35.14,45.91,18.34,28.40,22.52,94.57,16.60,25.23,70.52,52.06,40.48,19.56,33.79,58.57,57.56
