ID,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y
Seq_7028,8.82,0.00,2.94,8.82,0.00,10.29,0.00,8.82,10.29,10.29,2.94,2.94,0.00,1.47,1.47,8.82,5.88,16.18,0.00,0.00
Seq_7029,13.66,0.00,8.29,1.46,3.41,12.20,2.93,3.41,1.95,9.76,0.98,2.93,3.90,3.90,0.98,12.20,5.85,6.83,1.46,3.90
Seq_7030,9.53,2.14,6.81,4.28,3.31,7.98,3.50,5.84,4.47,7.00,1.56,6.42,3.50,4.47,2.92,9.34,6.42,6.23,2.53,1.75
Seq_7031,6.71,0.00,4.03,3.36,1.34,7.38,2.01,6.71,1.34,9.40,1.34,8.72,6.71,6.04,2.68,8.72,10.74,8.05,1.34,3.36
Seq_7032,7.76,1.29,4.81,6.65,2.96,6.65,2.22,7.02,4.44,9.80,3.51,5.18,3.14,3.88,4.99,8.87,6.84,7.21,0.37,2.40
Seq_7033,5.34,0.76,10.69,20.23,3.44,6.49,0.00,5.73,4.96,7.25,1.53,5.34,5.73,2.67,1.53,5.73,2.67,6.49,1.15,2.29
Seq_7034,8.02,0.50,5.76,9.52,4.51,9.02,1.00,5.51,6.77,11.03,1.75,5.01,2.01,2.51,3.51,5.51,5.76,8.27,0.25,3.76
Seq_7035,12.57,1.31,4.71,7.33,2.62,12.30,2.09,4.71,2.36,7.33,2.09,2.09,3.14,2.88,8.12,4.19,7.33,8.64,1.31,2.88
Seq_7036,6.58,0.73,4.94,5.48,3.84,5.67,2.19,10.24,4.02,11.52,2.38,4.39,2.93,7.13,5.67,8.59,4.02,5.48,1.10,3.11
Seq_7037,9.36,1.50,7.12,6.37,3.00,10.11,1.50,5.24,8.24,9.74,2.25,2.25,2.62,3.00,5.24,4.49,6.37,7.12,1.12,3.37
Seq_7038,8.72,0.97,5.33,3.87,4.36,10.17,1.45,6.30,6.05,9.93,2.42,4.12,5.57,2.66,4.84,6.30,5.81,8.72,1.21,1.21
Seq_7039,7.20,1.49,8.44,6.95,3.23,7.20,2.73,8.68,7.69,8.19,1.99,3.47,2.73,1.99,4.22,5.71,5.21,8.44,1.49,2.98
Seq_7040,15.00,0.00,2.27,6.36,5.00,7.73,1.36,3.18,4.55,8.64,0.45,4.09,3.18,6.36,6.82,7.73,3.64,8.18,0.91,4.55
Seq_7041,9.94,0.56,6.57,6.75,4.69,6.57,1.13,5.07,4.32,12.01,2.81,4.13,4.69,3.56,6.38,6.57,3.56,5.63,0.56,4.50
Seq_7042,8.37,0.00,3.96,3.52,3.96,9.69,2.20,6.17,0.88,6.17,2.64,4.41,9.25,6.61,7.49,9.25,6.61,4.41,0.88,3.52
Seq_7043,6.85,0.76,6.09,9.39,3.55,10.41,2.79,7.36,5.84,7.11,2.79,1.78,5.08,2.03,5.84,2.54,7.61,9.39,0.25,2.54
Seq_7044,6.91,2.30,6.25,9.54,2.63,6.25,1.97,4.28,6.91,8.55,1.97,5.92,4.61,1.97,4.28,6.91,5.92,6.58,1.32,4.93
Seq_7045,4.23,2.12,4.50,5.29,2.12,5.03,1.59,3.70,4.23,10.32,3.44,2.91,6.61,2.91,4.23,10.85,15.08,6.61,2.38,1.85
Seq_7046,13.52,1.42,2.49,2.49,7.12,10.68,2.49,7.47,3.91,8.54,1.78,3.20,4.98,2.14,2.85,5.34,4.98,9.25,2.14,3.20
Seq_7047,6.51,0.59,6.39,7.81,4.85,8.64,1.54,5.33,8.05,8.52,1.30,5.68,3.79,2.37,3.67,7.10,4.85,8.17,1.30,3.55
Seq_7048,9.66,0.29,3.82,4.78,5.07,8.70,0.86,6.31,3.82,9.94,3.54,3.35,4.88,5.35,3.63,7.65,4.88,9.94,1.05,2.49
Seq_7049,7.37,2.55,3.12,6.23,3.97,10.76,5.67,5.38,4.25,6.80,4.25,5.10,4.53,3.68,4.25,3.97,7.08,7.08,0.00,3.97
Seq_7050,10.34,0.00,1.72,3.45,8.62,1.72,1.72,8.62,5.17,12.07,5.17,3.45,3.45,1.72,5.17,6.90,1.72,10.34,3.45,5.17
Seq_7051,8.47,1.13,6.50,9.32,4.52,6.21,1.41,8.47,9.04,7.34,3.11,4.24,5.37,1.98,3.95,4.80,3.95,7.34,0.56,2.26
Seq_7052,7.74,0.62,7.12,7.59,3.72,8.20,1.08,6.81,8.36,6.81,2.01,5.11,3.87,4.02,4.33,5.57,7.28,7.12,0.31,2.32
Seq_7053,7.69,0.62,7.08,7.54,3.69,8.46,1.08,6.77,8.31,6.77,2.15,5.23,4.00,4.00,4.31,5.38,7.23,7.08,0.31,2.31
Seq_7054,6.88,0.91,4.33,7.30,4.45,6.42,2.47,7.15,5.21,12.31,1.52,4.83,4.07,6.84,3.19,7.53,5.32,5.21,1.41,2.66
Seq_7055,7.82,0.00,8.14,3.91,3.91,5.21,3.91,5.21,3.58,12.05,2.28,3.58,7.82,5.54,3.26,4.56,5.86,7.17,0.65,5.54
Seq_7056,6.90,0.00,11.03,8.28,5.52,6.21,1.38,8.28,10.34,6.21,2.76,5.52,1.38,3.45,2.76,3.45,5.52,7.59,1.38,2.07
Seq_7057,8.56,1.10,7.18,8.56,5.25,7.73,3.04,8.29,5.80,6.91,3.59,4.42,4.14,2.21,3.31,4.70,5.52,6.91,0.28,2.49
Seq_7058,8.64,1.11,5.85,6.13,3.62,8.64,3.62,5.85,6.96,7.52,2.23,5.01,4.18,4.18,1.67,6.96,4.74,8.36,1.11,3.62
Seq_7059,11.19,0.22,4.92,3.13,3.36,8.50,0.67,5.82,9.40,7.61,4.03,6.71,6.71,5.82,0.45,6.04,4.25,5.82,2.01,3.36
Seq_7060,5.87,1.37,4.78,6.56,3.96,8.61,2.73,5.33,6.83,7.24,2.73,6.83,4.92,3.42,3.69,4.64,6.56,6.42,1.50,6.01
Seq_7061,13.81,1.66,7.18,3.31,3.31,9.94,1.66,6.63,8.29,7.18,2.21,5.52,2.76,2.21,4.97,4.42,7.18,4.97,1.66,1.10
Seq_7062,10.96,1.12,7.58,5.34,4.49,5.06,0.56,11.24,8.71,8.43,2.53,6.18,2.25,3.65,1.69,5.62,5.62,5.90,0.56,2.53
Seq_7063,7.46,0.75,6.22,8.46,4.23,6.22,1.74,6.97,8.96,5.97,3.98,4.48,2.74,2.24,4.23,5.47,6.72,6.97,1.49,4.73
Seq_7064,6.86,0.47,7.09,4.96,4.02,6.62,1.65,5.44,12.77,8.98,3.07,7.33,4.49,4.73,1.42,4.26,5.44,4.73,1.42,4.26
Seq_7065,8.85,0.54,5.36,7.51,2.41,8.85,4.83,7.24,8.31,8.04,2.68,4.29,3.75,4.02,1.88,2.41,4.56,10.72,0.00,3.75
Seq_7066,7.67,0.61,6.44,7.36,4.60,8.28,2.76,6.13,5.52,6.75,1.84,4.60,4.91,3.68,4.91,7.06,4.29,8.59,0.61,3.37
Seq_7067,7.10,0.57,5.68,8.24,4.55,8.52,1.14,6.25,10.23,10.80,1.14,2.84,2.84,1.70,3.41,5.40,4.83,8.52,1.14,5.11
Seq_7068,8.27,1.50,9.02,6.02,4.51,5.26,4.51,6.77,6.02,6.77,3.76,2.26,3.76,3.01,5.26,4.51,3.76,7.52,2.26,5.26
Seq_7069,4.71,0.59,11.76,6.47,4.71,11.18,0.59,6.47,5.88,8.82,0.59,4.71,0.59,5.29,2.35,6.47,5.88,5.88,2.35,4.71
Seq_7070,7.21,0.16,8.03,5.08,4.26,5.90,1.97,7.38,9.84,7.54,1.97,8.52,3.61,2.13,2.62,4.92,3.28,6.07,1.97,7.54
Seq_7071,5.02,0.00,4.39,6.58,3.45,5.96,1.25,9.72,5.33,7.84,0.94,6.58,6.90,1.88,2.19,6.90,9.72,6.58,3.45,5.33
Seq_7072,15.28,1.04,5.90,5.56,4.86,13.54,1.04,3.82,7.99,6.60,1.74,2.78,2.43,2.08,3.47,4.86,4.86,9.38,0.35,2.43
Seq_7073,12.93,6.90,8.62,4.31,4.31,7.76,6.90,0.00,7.76,8.62,2.59,1.72,3.45,3.45,0.86,11.21,3.45,5.17,0.00,0.00
Seq_7074,7.24,0.78,6.65,7.24,3.72,8.81,3.72,7.05,6.65,8.61,1.96,3.91,5.48,2.54,5.09,3.52,5.68,6.65,0.39,4.31
Seq_7075,6.99,2.10,4.90,9.79,8.39,6.29,1.40,8.39,8.39,4.20,4.20,6.29,1.40,0.70,2.80,8.39,3.50,9.09,0.00,2.80
Seq_7076,8.53,0.00,2.39,4.44,2.39,10.92,2.73,6.83,4.44,7.51,1.37,5.12,2.39,7.51,3.75,6.48,9.22,9.56,1.37,3.07
Seq_7077,9.44,0.52,6.99,9.27,3.15,6.29,1.05,7.69,5.94,9.79,3.15,5.24,3.32,3.67,4.37,4.72,5.24,7.34,0.17,2.62
Seq_7078,10.83,0.00,8.12,2.71,5.62,12.50,1.88,3.96,4.17,6.67,0.83,6.25,2.08,3.96,2.08,8.75,8.12,6.25,1.25,3.96
Seq_7079,3.99,0.67,4.95,7.24,5.25,6.28,1.63,8.28,6.80,8.87,2.14,7.17,2.96,4.21,4.51,7.76,6.73,4.88,1.40,4.29
Seq_7080,10.10,0.00,5.29,9.13,5.29,5.77,1.44,5.29,6.73,9.62,1.92,5.29,4.33,3.85,3.37,5.29,7.21,5.77,1.44,2.88
Seq_7081,11.36,1.26,4.80,7.58,3.79,9.60,3.28,5.56,8.59,10.61,2.53,3.03,4.04,4.55,3.54,4.29,4.04,4.80,0.25,2.53
Seq_7082,5.45,1.09,5.45,8.36,4.00,7.64,2.18,7.64,5.45,6.55,3.27,5.45,6.18,2.18,2.91,6.18,6.55,5.45,0.73,7.27
Seq_7083,5.51,1.27,4.24,5.93,3.39,5.08,2.12,7.20,6.78,14.83,1.69,5.08,2.97,7.20,2.54,5.93,5.93,7.63,1.69,2.97
Seq_7084,5.69,0.81,3.66,6.91,4.88,8.13,2.44,4.88,10.57,10.57,0.41,4.88,5.28,0.81,1.22,9.35,4.88,8.94,2.44,3.25
Seq_7085,9.83,0.28,6.93,3.88,4.16,8.17,1.52,4.16,5.96,5.54,2.63,4.99,4.57,5.26,2.77,8.59,6.79,4.43,3.60,5.96
Seq_7086,9.09,0.43,5.19,5.19,4.76,9.09,1.73,6.06,8.23,8.23,2.16,6.49,2.60,0.43,1.73,12.12,7.79,5.19,2.16,1.30
Seq_7087,5.71,1.43,8.00,7.14,3.14,8.00,3.43,7.71,5.14,8.57,1.71,4.57,3.71,3.71,6.86,5.71,4.86,7.43,0.57,2.57
Seq_7088,5.84,1.17,7.39,10.12,4.28,5.84,1.17,3.11,6.23,11.67,2.33,2.33,5.84,2.33,10.12,6.23,5.06,5.45,0.78,2.72
Seq_7089,9.29,1.01,6.26,8.08,4.44,5.66,4.04,5.25,5.25,6.87,3.23,2.83,4.04,3.84,6.87,4.85,5.45,8.08,1.01,3.64
Seq_7090,6.06,1.52,4.55,9.85,5.30,6.06,5.30,5.30,3.79,8.33,4.55,2.27,7.58,5.30,4.55,3.79,8.33,3.79,0.76,3.03
Seq_7091,10.90,0.43,5.77,7.26,3.63,8.76,0.85,7.48,5.98,8.55,1.50,4.27,3.42,4.49,4.27,5.34,4.70,6.20,0.85,5.34
Seq_7092,9.03,0.93,5.30,5.92,3.43,6.54,4.36,5.61,3.43,9.35,3.12,4.98,4.36,4.67,6.54,5.61,4.36,7.48,1.25,3.74
Seq_7093,10.96,0.14,6.58,10.00,3.01,7.53,2.05,8.08,7.53,7.40,2.33,2.19,3.84,3.42,5.07,4.66,4.66,7.95,0.14,2.47
Seq_7094,3.48,0.35,5.23,8.36,4.88,6.27,3.48,5.57,5.23,9.06,3.14,6.97,4.53,5.23,4.18,6.27,2.79,6.97,2.44,5.57
Seq_7095,9.67,0.55,3.87,7.46,4.42,8.29,2.21,4.14,4.97,9.12,3.59,4.97,3.87,4.70,4.42,7.73,4.14,6.91,0.55,4.42
Seq_7096,8.82,1.47,4.90,5.15,2.70,6.37,2.21,5.15,5.64,5.39,2.94,3.68,10.05,2.94,5.15,6.37,5.64,11.03,0.74,3.68
Seq_7097,5.21,0.82,5.48,3.84,4.66,8.22,0.55,5.48,8.77,9.86,0.55,8.49,5.48,2.19,2.47,7.67,8.22,6.58,1.10,4.38
Seq_7098,2.92,2.92,4.68,5.85,7.02,11.11,2.34,8.19,6.43,4.68,3.51,7.60,3.51,2.34,5.26,8.77,4.68,5.85,0.58,1.75
Seq_7099,11.58,1.16,4.63,5.41,3.86,6.56,1.93,10.42,6.56,5.79,4.25,7.72,2.70,5.02,3.09,8.49,4.63,4.63,0.39,1.16
Seq_7100,11.07,1.19,4.35,6.72,3.16,8.30,2.77,5.14,3.95,7.91,3.56,1.98,3.95,3.56,5.14,6.32,9.09,9.49,0.79,1.58
Seq_7101,6.91,0.92,1.84,4.15,8.29,5.99,4.61,11.06,7.83,6.91,5.99,1.84,3.69,2.76,4.61,4.61,3.23,8.29,3.69,2.76
Seq_7102,16.41,1.56,7.81,6.77,3.91,9.11,1.30,1.82,5.47,9.11,2.34,2.08,8.07,1.04,2.34,5.47,4.95,6.77,1.04,2.60
Seq_7103,13.78,0.00,5.70,5.70,2.85,8.79,3.56,4.75,4.04,10.45,1.90,2.14,4.99,2.61,4.99,6.41,5.23,7.36,1.90,2.85
Seq_7104,5.50,2.82,4.51,10.30,5.92,5.50,1.41,6.91,9.59,8.46,3.53,4.65,4.51,3.81,5.08,5.22,4.51,3.81,1.13,2.82
Seq_7105,6.81,0.93,5.88,4.95,1.86,5.57,3.10,8.67,8.05,12.07,3.41,4.95,2.79,4.95,4.95,7.12,4.95,6.19,0.62,2.17
Seq_7106,7.98,0.00,4.29,7.36,8.59,5.52,3.68,4.29,4.29,9.20,1.84,3.68,3.68,4.91,6.13,6.75,4.91,10.43,0.61,1.84
Seq_7107,12.50,0.66,7.24,4.61,3.95,6.58,1.32,2.63,6.58,11.18,4.61,5.26,1.32,3.29,4.61,7.24,3.29,10.53,1.32,1.32
Seq_7108,13.59,1.01,5.48,6.09,2.43,9.74,1.42,4.67,2.43,8.92,1.83,3.04,6.09,3.25,6.49,6.90,4.87,8.11,1.83,1.83
Seq_7109,9.06,2.19,5.94,6.56,5.31,9.69,3.44,8.75,3.44,6.25,3.12,3.75,4.69,3.12,4.69,6.25,3.75,7.19,0.62,2.19
Seq_7110,5.50,1.14,5.16,8.45,2.35,8.79,2.95,3.89,5.57,6.44,1.01,3.96,7.71,5.77,7.98,8.72,5.70,6.44,0.54,1.95
Seq_7111,7.02,3.01,6.02,6.02,4.01,7.36,3.34,5.35,6.69,8.03,3.01,4.01,4.35,2.68,4.35,6.69,5.02,10.37,1.34,1.34
Seq_7112,14.86,2.03,8.11,11.49,3.38,10.14,1.35,3.38,6.08,11.49,4.05,2.70,2.03,1.35,0.68,6.76,2.03,5.41,0.68,2.03
Seq_7113,11.27,1.25,5.90,5.72,2.86,9.66,1.61,6.62,6.44,10.02,2.68,4.11,4.47,1.79,4.65,3.76,6.08,7.69,0.36,3.04
Seq_7114,11.45,1.25,5.90,5.72,3.04,9.66,1.61,6.62,6.44,9.84,2.68,4.11,4.47,1.79,4.47,3.76,6.08,7.69,0.36,3.04
Seq_7115,9.23,1.01,6.71,4.70,2.68,11.24,1.17,4.70,2.01,5.70,1.34,8.56,7.89,2.52,4.03,8.39,5.20,6.38,2.68,3.86
Seq_7116,9.41,1.18,3.53,4.71,5.88,5.88,1.18,8.24,7.06,7.06,1.18,3.53,8.24,1.18,4.71,9.41,8.24,8.24,0.00,1.18
Seq_7117,16.53,0.40,4.44,5.24,2.02,11.29,0.40,4.84,2.02,7.66,2.02,3.23,2.02,4.44,8.06,6.05,5.65,10.89,0.40,2.42
Seq_7118,7.47,1.55,5.41,8.51,4.64,4.12,4.12,5.67,5.93,10.57,1.03,5.15,4.38,4.90,2.84,5.67,4.38,7.73,1.55,4.38
Seq_7119,9.56,0.44,5.33,7.56,4.22,10.67,1.33,4.44,6.00,6.00,4.00,4.44,4.44,3.56,4.00,4.44,3.78,10.00,1.11,4.67
Seq_7120,7.88,0.68,5.14,6.85,4.11,7.19,3.77,7.88,5.48,10.27,2.40,3.77,4.11,4.45,3.42,7.19,4.45,7.19,0.00,3.77
Seq_7121,8.76,1.03,6.19,5.67,4.12,4.12,2.58,4.64,1.55,10.31,1.55,4.64,9.28,8.25,8.76,5.67,3.61,3.09,3.61,2.58
Seq_7122,6.92,3.57,11.38,4.46,3.79,11.61,1.79,3.79,2.90,5.36,2.46,4.91,3.12,3.12,2.01,8.04,8.71,5.36,2.01,4.69
Seq_7123,4.00,0.00,8.00,4.00,8.00,4.00,1.60,4.80,2.40,11.20,2.40,8.00,4.00,9.60,4.00,7.20,6.40,5.60,0.00,4.80
Seq_7124,6.94,6.94,5.86,7.59,0.87,6.94,1.08,2.60,3.47,19.96,0.65,3.69,3.04,5.21,5.21,9.76,2.82,5.42,1.30,0.65
Seq_7125,6.67,2.08,5.83,8.75,5.83,6.25,3.75,5.42,7.92,11.67,1.67,1.67,3.75,3.75,4.58,6.25,3.33,5.42,2.08,3.33
Seq_7126,4.33,1.02,5.09,5.60,5.09,6.11,4.83,4.33,3.82,10.69,3.05,3.82,7.12,4.33,5.34,7.63,6.11,5.60,2.04,4.07
Seq_7127,13.44,1.89,5.19,7.08,4.72,7.55,2.36,3.07,3.54,13.44,1.89,1.18,5.90,3.07,6.84,4.01,7.08,6.13,0.71,0.94
Seq_7128,14.95,0.47,5.37,4.67,1.64,8.64,3.04,5.61,2.10,11.68,3.27,4.67,3.97,3.97,6.78,4.21,4.44,8.18,0.70,1.64
Seq_7129,7.10,1.54,4.80,7.49,4.03,7.29,2.30,4.41,4.03,10.36,2.50,4.03,5.95,2.50,7.87,5.95,5.57,6.91,1.54,3.84
Seq_7130,12.16,1.01,7.09,7.43,4.39,8.11,2.03,6.76,2.03,8.78,2.70,1.69,7.09,3.38,8.45,4.05,3.04,4.39,2.70,2.70
Seq_7131,8.12,1.78,8.12,7.11,5.08,7.11,3.05,5.33,4.31,4.57,2.79,3.30,5.33,3.81,6.35,4.82,5.33,6.85,3.05,3.81
Seq_7132,5.82,2.37,6.25,5.82,3.23,4.53,2.59,5.60,7.33,9.05,3.66,4.31,5.60,4.53,3.88,7.97,4.09,7.76,0.86,4.74
Seq_7133,8.36,5.82,5.45,10.18,1.45,7.27,1.45,5.09,5.45,11.27,3.27,2.91,5.09,4.00,4.00,5.09,4.36,5.82,1.09,2.55
Seq_7134,11.78,0.90,5.31,5.76,3.69,7.64,1.44,4.59,3.15,9.62,2.52,3.42,5.04,5.40,7.64,7.55,6.74,4.32,0.72,2.79
Seq_7135,1.44,7.21,5.77,8.17,5.77,4.81,3.37,6.25,9.13,6.73,2.88,4.33,9.13,3.37,7.21,5.29,1.92,2.40,0.48,4.33
Seq_7136,9.71,0.86,5.71,6.29,4.57,6.29,3.43,5.14,2.29,11.71,3.14,2.86,4.86,4.86,7.14,7.43,4.29,6.86,1.14,1.43
Seq_7137,4.98,0.26,6.13,5.50,5.87,6.09,1.22,9.70,8.23,8.12,1.11,10.70,2.32,2.55,1.85,7.90,6.13,4.10,0.96,6.31
Seq_7138,7.23,0.85,4.68,7.23,3.83,7.23,1.70,6.38,4.68,12.34,2.55,3.83,5.53,1.28,6.38,8.94,4.68,7.23,0.43,2.98
Seq_7139,10.32,1.18,6.49,5.31,4.42,5.90,3.24,4.13,5.31,9.73,2.95,4.13,5.31,3.83,5.01,5.31,5.31,7.37,2.06,2.65
Seq_7140,5.89,2.64,5.49,9.96,3.66,3.25,1.22,6.50,9.55,6.91,2.44,3.86,4.88,6.71,5.49,6.91,5.08,4.88,1.22,3.46
Seq_7141,16.31,0.86,4.29,9.01,4.72,8.58,2.15,6.87,5.58,6.01,3.00,1.72,1.72,2.58,4.29,6.01,4.29,10.30,0.86,0.86
Seq_7142,6.39,1.92,4.15,6.07,5.75,9.90,1.60,4.47,6.07,10.54,3.51,5.11,6.39,1.92,3.51,6.07,5.75,7.35,0.00,3.51
Seq_7143,12.00,0.62,3.69,9.54,3.38,9.54,1.23,4.31,4.31,11.38,2.15,3.69,4.92,0.92,5.23,8.31,4.00,8.62,0.00,2.15
Seq_7144,6.63,2.13,6.46,9.45,3.69,4.84,2.25,4.09,7.20,8.65,2.25,3.57,4.67,5.19,4.44,8.13,5.24,6.74,1.50,2.88
Seq_7145,16.16,2.18,7.42,4.80,0.44,7.42,2.62,8.30,2.62,10.04,2.18,1.75,5.68,2.62,5.68,5.68,4.37,7.42,0.87,1.75
Seq_7146,5.70,3.28,5.95,7.04,3.88,5.95,3.03,3.76,5.95,12.38,2.18,4.25,5.83,4.25,3.88,7.04,5.10,6.43,0.73,3.40
Seq_7147,11.90,1.25,5.01,6.47,3.76,9.39,4.18,4.18,2.09,9.19,2.30,2.51,5.22,3.76,6.47,5.64,5.64,6.68,1.88,2.51
Seq_7148,9.29,0.27,4.37,11.20,1.64,6.01,2.46,3.01,6.83,7.92,0.55,3.01,6.56,4.10,7.38,11.20,5.74,6.83,0.27,1.37
Seq_7149,7.10,0.93,4.94,7.41,4.01,10.19,0.62,7.41,9.57,6.48,1.23,3.09,3.70,2.47,4.01,4.94,5.56,12.04,0.62,3.70
Seq_7150,3.52,1.41,4.23,7.04,6.34,4.23,2.11,3.52,6.34,7.04,4.23,3.52,4.93,6.34,4.93,9.15,4.93,10.56,1.41,4.23
Seq_7151,8.51,1.06,2.66,1.60,5.85,7.45,3.19,8.51,4.26,11.17,3.19,2.13,5.85,2.13,6.91,4.26,7.45,7.98,2.66,3.19
Seq_7152,8.70,1.98,5.26,7.02,3.89,7.32,2.21,3.59,4.58,8.92,1.91,3.05,9.08,4.50,5.26,9.31,4.20,5.57,1.22,2.44
Seq_7153,8.86,1.45,3.62,5.24,3.07,6.51,4.34,3.98,4.16,8.86,2.35,1.99,10.85,4.52,3.62,10.85,5.61,5.97,0.90,3.25
Seq_7154,8.68,1.45,3.62,5.24,3.07,6.51,4.34,3.98,4.16,8.86,2.35,1.99,10.85,4.52,3.62,10.85,5.61,6.15,0.90,3.25
Seq_7155,4.12,3.09,6.19,11.34,5.15,5.15,3.09,8.25,3.09,10.31,2.06,3.09,4.12,2.06,7.22,8.25,3.09,6.19,2.06,2.06
Seq_7156,6.58,1.32,9.54,6.25,6.25,8.22,1.97,6.25,4.61,9.87,2.30,3.62,4.28,2.30,5.26,5.59,5.26,6.25,0.66,3.62
Seq_7157,3.74,2.14,6.42,6.95,3.74,5.88,1.34,7.49,5.88,9.89,3.48,5.61,3.21,3.48,5.88,7.75,6.15,6.15,0.80,4.01
Seq_7158,5.41,2.25,3.83,3.83,4.28,7.21,5.18,4.05,3.83,7.88,2.70,3.38,9.46,3.15,5.86,10.81,5.63,6.98,1.35,2.93
Seq_7159,5.65,2.34,7.02,5.26,4.87,6.43,3.51,6.82,7.41,9.36,1.56,4.87,7.21,4.09,2.73,3.90,5.46,7.02,1.36,3.12
Seq_7160,10.49,1.28,5.12,4.60,3.07,10.74,3.32,5.37,4.86,7.93,6.39,3.84,4.09,3.84,4.09,6.39,5.63,7.42,0.51,1.02
Seq_7161,9.59,1.03,6.16,5.48,3.77,7.53,1.03,7.19,6.85,8.22,1.71,6.85,2.74,2.05,5.14,8.90,6.85,4.11,1.37,3.42
Seq_7162,9.27,1.61,6.05,8.87,3.23,6.05,1.61,8.47,3.23,8.06,2.02,0.40,4.84,4.44,8.87,7.26,4.03,7.66,1.61,2.42
Seq_7163,13.89,1.85,7.41,6.02,2.78,7.87,1.39,8.33,4.63,7.87,2.31,1.85,2.31,4.17,5.56,3.70,5.09,8.33,2.78,1.85
Seq_7164,12.92,0.96,4.78,7.66,3.35,8.61,1.91,6.70,3.83,12.44,2.39,3.83,5.26,1.91,5.26,6.70,3.83,5.74,0.48,1.44
Seq_7165,14.17,0.00,3.64,5.67,1.62,12.55,0.81,5.67,3.24,10.12,2.83,4.86,2.02,3.64,5.67,5.26,6.07,9.72,0.81,1.62
Seq_7166,3.80,3.23,7.02,5.50,5.12,7.21,3.04,5.88,5.88,7.21,2.47,4.93,5.69,3.42,3.42,9.11,6.26,5.69,1.33,3.80
Seq_7167,7.67,0.93,6.05,8.14,3.95,5.93,1.63,6.63,5.81,10.35,2.44,3.95,3.49,6.63,5.12,6.98,5.70,5.00,1.16,2.44
Seq_7168,9.38,2.50,3.12,6.56,5.62,9.06,1.25,3.44,4.38,10.00,3.75,5.31,5.62,3.12,4.06,6.25,5.94,7.19,0.00,3.44
Seq_7169,8.74,0.39,5.83,7.77,3.69,9.32,1.94,8.35,6.80,7.77,2.52,3.69,5.44,2.72,4.85,4.08,4.27,8.35,0.39,3.11
Seq_7170,13.11,1.83,5.49,5.18,2.13,9.76,4.27,5.18,2.13,14.33,1.83,1.22,6.71,3.05,6.71,3.35,5.79,5.79,0.61,1.52
Seq_7171,6.78,1.41,6.50,4.80,3.11,7.91,3.67,6.50,3.67,10.73,1.41,3.11,5.93,3.95,5.65,9.04,5.08,7.91,0.56,2.26
Seq_7172,7.27,1.74,6.69,8.14,2.03,6.40,2.33,8.14,7.27,6.10,1.74,4.07,3.49,4.94,3.20,4.94,5.23,11.05,1.16,4.07
Seq_7173,14.72,1.52,9.14,7.11,2.03,6.60,4.06,3.55,2.03,13.71,2.03,1.52,6.09,1.02,7.61,4.06,4.06,5.58,2.54,1.02
Seq_7174,9.02,0.75,4.89,7.71,6.02,7.71,1.13,5.26,8.83,7.89,2.26,6.02,4.14,1.50,2.63,5.64,7.71,6.77,1.69,2.44
Seq_7175,3.53,0.64,4.65,5.30,4.01,4.82,0.16,10.43,5.30,7.38,0.80,12.84,4.33,3.37,3.37,8.67,8.19,4.82,0.16,7.22
Seq_7176,6.27,1.25,6.99,4.48,2.51,6.27,1.43,5.38,7.71,11.29,3.23,4.84,4.66,5.91,5.02,8.06,4.48,6.81,1.25,2.15
Seq_7177,8.73,1.59,4.76,9.79,2.91,9.26,2.65,2.91,3.70,10.85,2.38,1.32,5.03,4.23,6.88,7.14,3.44,7.67,2.12,2.65
Seq_7178,4.11,2.74,4.79,6.51,4.45,4.45,3.08,4.79,8.90,8.56,1.71,7.88,3.77,1.71,5.48,6.16,6.85,6.85,1.71,5.48
Seq_7179,4.50,5.41,2.70,9.91,1.80,9.01,5.41,4.50,7.21,10.81,3.60,4.50,4.50,1.80,3.60,3.60,5.41,6.31,1.80,3.60
Seq_7180,6.84,2.11,6.84,10.00,2.63,7.89,3.68,2.63,6.84,11.58,3.16,3.68,1.58,3.68,5.79,8.95,1.58,4.74,1.05,4.74
Seq_7181,12.66,0.00,2.53,7.59,3.16,12.66,1.27,1.27,5.06,13.29,0.63,1.27,6.96,3.16,6.33,3.80,6.33,9.49,0.63,1.90
Seq_7182,10.48,0.95,5.24,6.19,3.81,9.05,0.95,5.24,3.81,9.05,4.76,2.38,2.86,5.24,5.71,10.00,6.19,5.71,0.95,1.43
Seq_7183,10.34,0.24,6.25,6.97,4.57,8.89,1.92,5.53,10.10,9.86,0.96,3.37,4.09,1.92,3.12,6.25,4.33,9.13,0.48,1.68
Seq_7184,6.53,1.63,5.92,5.10,3.67,11.02,2.65,5.71,4.90,10.82,0.82,2.65,4.90,2.86,5.71,8.57,4.90,7.76,0.61,3.27
Seq_7185,3.70,1.56,6.82,6.04,4.48,4.29,2.14,7.02,8.77,9.94,0.78,6.24,3.90,6.04,4.48,8.97,5.07,5.85,0.78,3.12
Seq_7186,12.56,0.51,6.45,10.02,2.21,3.57,1.36,4.75,10.19,6.96,2.72,5.77,4.07,5.60,4.07,6.11,5.43,2.89,0.51,4.24
